"METADATA_COLNAME","METADATA_COLNAME_LONG","METADATA_UNITS","METADATA_DATATYPE","METADATA_COLNAME_DESC"
"DATE_START","Start date","YYYY-MM-DD","DATE","The date (YYYY-MM-DD) of the beginning of the event (e.g., cruise)."
"DATE_TIME","Date and time","MM/DD/YYYY HH::MM","DATE","The date (MM/DD/YYYY) and time (HH:MM) of the haul. All dates and times are in Alaska time (AKDT) of Anchorage, AK, USA (UTC/GMT -8 hours)."
"DATE_TIME_END","End date and time","MM/DD/YYYY HH::MM","TIMESTAMP","The date (MM/DD/YYYY) and time (HH:MM) of the end of the haul. All dates and times are in Alaska time (AKDT) of Anchorage, AK, USA (UTC/GMT -8 hours)."
"DATE_TIME_START","Start date and time","MM/DD/YYYY HH::MM","TIMESTAMP","The date (MM/DD/YYYY) and time (HH:MM) of the beginning of the haul. All dates and times are in Alaska time (AKDT) of Anchorage, AK, USA (UTC/GMT -8 hours)."
"DEPTH_GEAR_M","Depth of gear (m)","degrees Celsius","NUMBER(38,1)","Depth of gear (meters)."
"DEPTH_M","Depth (m)","degrees Celsius","NUMBER(38,1)","Bottom depth (meters)."
"DEPTH_MAX_M","Area ID maximum depth (m)","meters","NUMBER(38,3)","Maximum depth (meters)."
"DEPTH_MIN_M","Area ID minimum depth (m)","meters","NUMBER(38,3)","Minimum depth (meters)."
"DESCRIPTION","Description","text","VARCHAR2(4000 BYTE)","Description of row observation."
"DESIGN_YEAR","Design year","year","NUMBER(10,0)","Year ID associated with a given value AREA_ID. This field describes the changes in the survey design over time."
"PRESERVATIVE","Chemical specimen stored in","text","VARCHAR2(255 BYTE)","Chemical specimen currently stored in"
"DISTANCE_FISHED_KM","Distance fished (km)","kilometers","NUMBER(38,3)","Distance the net fished (kilometers)."
"DUMMY","dummy","dummy","VARCHAR2(255 BYTE)","dummy."
"DURATION_HR","Tow duration (decimal hr)","hours","NUMBER(38,1)","This is the elapsed time between start and end of a haul (decimal hours)."
"FAMILY_TAXON","Family phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of family of a given species."
"FREQUENCY","Count of observation","count","NUMBER(38,0)","Frequency, or count, of an observation."
"GEAR","Type of gear used on the net","ID key code","NUMBER(38,0)","Type of gear used on net. For a complete list of gear ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"GEAR_DEPTH_M","Gear depth","meters","NUMBER(38,1)","Depth gear was deployed at (tenths of a meter). Gear depth plus net height equals bottom depth."
"GEAR_ID","Gear ID","ID key code","NUMBER(38,0)","Type of trawl or gear deployed. For a complete list of vessel gear type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"GEAR_TEMPERATURE_C","Gear temperature (degrees Celsius)","degrees Celsius","NUMBER(38,1)","Temperature recorded by net gear (tenths of a degree Celsius); NA indicates removed or missing values."
"GENUS_TAXON","Genus phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of genus of a given species."
"GONAD_G","Weight of gonads (g)","grams","NUMBER(38,1)","Weight of specimen gonads (grams)."
"HAUL","Haul number","ID key code","NUMBER(38,0)","This number uniquely identifies a sampling event (haul) within a cruise. It is a sequential number, in chronological order of occurrence."
"HAUL_TYPE","Haul sampling type","ID key code","NUMBER(38,0)","Type of haul sampling method. For a complete list of haul type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"HAULJOIN","Haul ID","ID key code","NUMBER(38,0)","This is a unique numeric identifier assigned to each (vessel, cruise, and haul) combination."
"TAXONOMIST","Taxonomist","text","VARCHAR2(255 BYTE)","Taxonomist(s) who re-identified specimen(s)"
"ID_RANK","Lowest taxonomic rank","text","VARCHAR2(255 BYTE)","Lowest taxonomic rank of a given species entry."
"ITIS","Integrated taxonomic information system (ITIS) serial number","ID key code","NUMBER(38,0)","Species code as identified in the Integrated Taxonomic Information System (https://itis.gov/)."
"KINGDOM_TAXON","Kingdom phylogenetic rank","category","VARCHAR2(255 BYTE)","Phylogenetic latin rank of kingdom of a given species."
"LATITUDE_DD","Latitude (decimal degrees)","decimal degrees","NUMBER(38,6)","Latitude (one hundred thousandth of a decimal degree)."
"LATITUDE_DD_END","End latitude (decimal degrees)","decimal degrees","NUMBER(38,6)","Latitude (one hundred thousandth of a decimal degree) of the end of the haul."
"LATITUDE_DD_START","Start latitude (decimal degrees)","decimal degrees","NUMBER(38,6)","Latitude (one hundred thousandth of a decimal degree) of the start of the haul."
