"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","ID_RANK","DATABASE","DATABASE_ID","GENUS_TAXON","SUBFAMILY_TAXON","FAMILY_TAXON","SUPERFAMILY_TAXON","INFRAORDER_TAXON","SUBORDER_TAXON","ORDER_TAXON","SUPERORDER_TAXON","INFRACLASS_TAXON","SUBCLASS_TAXON","CLASS_TAXON","SUPERCLASS_TAXON","SUBPHYLUM_TAXON","PHYLUM_TAXON","KINGDOM_TAXON","GROUP_CODE"
10050,"Paralichthys californicus","California halibut","species","WORMS","275809","Paralichthys","","Paralichthyidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10050
10060,"Xystreurys liolepis","fantail sole","species","WORMS","283199","Xystreurys","","Paralichthyidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10060
10100,"Pleuronectidae","righteye flounder unid.","family","WORMS","125579","","","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10100
10110,"Atheresthes stomias","arrowtooth flounder","species","WORMS","279792","Atheresthes","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10110
10111,"Atheresthes sp.","","genus","WORMS","268428","Atheresthes","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10111
10112,"Atheresthes evermanni","Kamchatka flounder","species","WORMS","279791","Atheresthes","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10112
10115,"Reinhardtius hippoglossoides","Greenland turbot","species","WORMS","127144","Reinhardtius","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10115
10116,"Reinhardtius hippoglossoides (juvenile)","Greenland turbot (juvenile)","species","WORMS","","Reinhardtius","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10116
10120,"Hippoglossus stenolepis","Pacific halibut","species","WORMS","274290","Hippoglossus","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10120
10121,"Hippoglossus stenolepis (juvenile)","Pacific halibut (juvenile)","species","WORMS","","Hippoglossus","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10121
10122,"Parophrys vetulus X Platichthys stellatus hybrid","hybrid sole","species","WORMS","","Parophrys","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10122
10129,"Hippoglossoides sp.","","genus","WORMS","126115","Hippoglossoides","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10129
10130,"Hippoglossoides elassodon","flathead sole","species","WORMS","274289","Hippoglossoides","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10130
10140,"Hippoglossoides robustus","Bering flounder","species","WORMS","254561","Hippoglossoides","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10140
10141,"Hippoglossoides robustus (juvenile)","Bering flounder (juvenile)","species","WORMS","","Hippoglossoides","Pleuronectinae","Pleuronectidae","","","","Pleuronectiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",10141
