"SPECIES_CODE","YEAR","TAXON_CONFIDENCE","TAXON_CONFIDENCE_CODE","SURVEY_DEFINITION_ID"
21,1990,"High",1,47
21,1993,"High",1,47
21,1996,"High",1,47
21,1999,"High",1,47
21,2001,"High",1,47
21,2003,"High",1,47
21,2005,"High",1,47
21,2007,"High",1,47
21,2009,"High",1,47
21,2011,"High",1,47
21,2013,"High",1,47
21,2015,"High",1,47
21,2017,"High",1,47
21,2019,"High",1,47
21,2021,"High",1,47
21,2023,"High",1,47
222,1990,"Unassessed",,47
222,1993,"Unassessed",,47
222,1996,"Unassessed",,47
222,1999,"High",1,47
222,2001,"Unassessed",,47
222,2003,"Unassessed",,47
222,2005,"Unassessed",,47
222,2007,"Unassessed",,47
222,2009,"Unassessed",,47
222,2011,"Unassessed",,47
222,2013,"Unassessed",,47
222,2015,"Unassessed",,47
222,2017,"Unassessed",,47
222,2019,"Unassessed",,47
222,2021,"Unassessed",,47
222,2023,"Unassessed",,47
232,1990,"High",1,47
232,1993,"High",1,47
232,1996,"High",1,47
232,1999,"High",1,47
232,2001,"High",1,47
232,2003,"High",1,47
232,2005,"High",1,47
232,2007,"High",1,47
232,2009,"High",1,47
232,2011,"High",1,47
232,2013,"High",1,47
232,2015,"High",1,47
232,2017,"High",1,47
232,2019,"High",1,47
232,2021,"High",1,47
232,2023,"High",1,47
310,1990,"High",1,47
310,1993,"High",1,47
310,1996,"High",1,47
310,1999,"High",1,47
310,2001,"High",1,47
310,2003,"High",1,47
310,2005,"High",1,47
310,2007,"High",1,47
310,2009,"High",1,47
310,2011,"High",1,47
310,2013,"High",1,47
310,2015,"High",1,47
310,2017,"High",1,47
310,2019,"High",1,47
310,2021,"High",1,47
310,2023,"High",1,47
320,1990,"High",1,47
320,1993,"High",1,47
320,1996,"High",1,47
320,1999,"High",1,47
320,2001,"High",1,47
320,2003,"High",1,47
320,2005,"High",1,47
320,2007,"High",1,47
320,2009,"High",1,47
320,2011,"High",1,47
320,2013,"High",1,47
320,2015,"High",1,47
320,2017,"High",1,47
320,2019,"High",1,47
320,2021,"High",1,47
320,2023,"High",1,47
402,1990,"Unassessed",,47
402,1993,"Unassessed",,47
402,1996,"Moderate",2,47
402,1999,"Moderate",2,47
402,2001,"Moderate",2,47
402,2003,"Moderate",2,47
402,2005,"Moderate",2,47
402,2007,"Moderate",2,47
402,2009,"Moderate",2,47
402,2011,"Unassessed",,47
402,2013,"Unassessed",,47
402,2015,"Unassessed",,47
402,2017,"Unassessed",,47
402,2019,"Unassessed",,47
402,2021,"Unassessed",,47
402,2023,"Unassessed",,47
403,1990,"Unassessed",,47
403,1993,"Unassessed",,47
403,1996,"High",1,47
403,1999,"High",1,47
403,2001,"Unassessed",,47
403,2003,"Unassessed",,47
403,2005,"High",1,47
403,2007,"Unassessed",,47
403,2009,"Unassessed",,47
403,2011,"Unassessed",,47
403,2013,"Unassessed",,47
403,2015,"Unassessed",,47
403,2017,"Unassessed",,47
403,2019,"Unassessed",,47
403,2021,"Unassessed",,47
403,2023,"Unassessed",,47
404,1990,"Unassessed",,47
404,1993,"Low",3,47
404,1996,"Unassessed",,47
404,1999,"Unassessed",,47
404,2001,"Unassessed",,47
404,2003,"Unassessed",,47
404,2005,"Unassessed",,47
404,2007,"Unassessed",,47
404,2009,"Unassessed",,47
404,2011,"Unassessed",,47
404,2013,"Unassessed",,47
404,2015,"Unassessed",,47
404,2017,"Unassessed",,47
404,2019,"Unassessed",,47
404,2021,"Unassessed",,47
404,2023,"Unassessed",,47
405,1990,"High",1,47
405,1993,"High",1,47
405,1996,"High",1,47
405,1999,"High",1,47
405,2001,"High",1,47
405,2003,"High",1,47
405,2005,"High",1,47
405,2007,"High",1,47
405,2009,"High",1,47
405,2011,"High",1,47
405,2013,"High",1,47
405,2015,"High",1,47
405,2017,"High",1,47
405,2019,"High",1,47
405,2021,"High",1,47
405,2023,"High",1,47
410,1990,"Unassessed",,47
410,1993,"Unassessed",,47
410,1996,"Unassessed",,47
410,1999,"Unassessed",,47
410,2001,"Unassessed",,47
410,2003,"Unassessed",,47
410,2005,"Unassessed",,47
410,2007,"Low",3,47
410,2009,"Low",3,47
410,2011,"Unassessed",,47
410,2013,"Unassessed",,47
410,2015,"Unassessed",,47
410,2017,"Unassessed",,47
410,2019,"Unassessed",,47
410,2021,"Unassessed",,47
410,2023,"Unassessed",,47
420,1990,"High",1,47
420,1993,"High",1,47
420,1996,"High",1,47
420,1999,"High",1,47
420,2001,"High",1,47
420,2003,"High",1,47
420,2005,"High",1,47
420,2007,"High",1,47
420,2009,"High",1,47
420,2011,"High",1,47
420,2013,"High",1,47
420,2015,"High",1,47
420,2017,"High",1,47
420,2019,"High",1,47
420,2021,"High",1,47
420,2023,"High",1,47
421,1990,"Unassessed",,47
421,1993,"Unassessed",,47
421,1996,"Unassessed",,47
421,1999,"Unassessed",,47
421,2001,"Unassessed",,47
421,2003,"Unassessed",,47
421,2005,"Unassessed",,47
421,2007,"Unassessed",,47
421,2009,"High",1,47
421,2011,"Unassessed",,47
421,2013,"Unassessed",,47
421,2015,"Unassessed",,47
421,2017,"Unassessed",,47
421,2019,"Unassessed",,47
421,2021,"Unassessed",,47
421,2023,"Unassessed",,47
435,1990,"Moderate",2,47
435,1993,"Moderate",2,47
435,1996,"Moderate",2,47
435,1999,"High",1,47
435,2001,"High",1,47
435,2003,"High",1,47
435,2005,"High",1,47
435,2007,"High",1,47
435,2009,"High",1,47
435,2011,"High",1,47
435,2013,"High",1,47
435,2015,"High",1,47
435,2017,"High",1,47
435,2019,"High",1,47
435,2021,"High",1,47
435,2023,"High",1,47
436,1990,"Unassessed",,47
436,1993,"Unassessed",,47
436,1996,"Unassessed",,47
436,1999,"Unassessed",,47
436,2001,"Unassessed",,47
436,2003,"Unassessed",,47
436,2005,"High",1,47
436,2007,"High",1,47
436,2009,"High",1,47
436,2011,"High",1,47
436,2013,"High",1,47
436,2015,"High",1,47
436,2017,"High",1,47
436,2019,"High",1,47
436,2021,"High",1,47
